"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"233","brazil",15,3023,"change_in_emissions:3029",-1.3073905795507,"cost",1229987.33142403,7
"234","brazil",15,3023,"change_in_emissions:3029",-1.5575294970193,"cost",1385237.18461252,3
"235","brazil",15,3023,"change_in_emissions:3029",-0.989096591169146,"cost",1024553.06029392,11
"236","brazil",15,3023,"change_in_emissions:3025",-21.9953195841964,"cost",1167651763.32747,8
"237","brazil",15,3023,"change_in_emissions:3025",-22.029659824132,"cost",1926144441.37081,7
"238","brazil",15,3023,"change_in_emissions:3029",-1.62533650741642,"cost",824237.227103369,4
"239","brazil",15,3023,"change_in_emissions:3025",-22.3126411281992,"cost",1319420283.11363,10
"240","brazil",15,3023,"change_in_emissions:3029",-1.71891803480936,"cost",1171183.65866544,6
"241","brazil",15,3023,"change_in_emissions:3029",-1.75450840911738,"cost",1269316.65465812,1
"242","brazil",15,3023,"change_in_emissions:3025",-21.8710476939197,"cost",1377379430.66396,9
"243","brazil",15,3023,"change_in_emissions:3029",-1.34387022992984,"cost",1865201.8568702,8
"244","brazil",15,3023,"change_in_emissions:3027",-1.36257486657414,"cost",51397506.5381566,9
"245","brazil",15,3023,"change_in_emissions:3027",-1.39112335083757,"cost",77453011.7004648,11
"246","brazil",15,3023,"change_in_emissions:3027",-1.3483217449493,"cost",99548467.3997028,6
"247","brazil",15,3023,"change_in_emissions:3027",-1.39008631107438,"cost",144472537.002488,10
"248","brazil",15,3023,"change_in_emissions:3025",-22.3292869262963,"cost",1056228194.67985,11
"249","brazil",15,3023,"change_in_emissions:3027",-1.37245646462036,"cost",94658300.1119603,7
"250","brazil",15,3023,"change_in_emissions:3029",-1.11317578831251,"cost",852473.207232223,5
"251","brazil",15,3023,"change_in_emissions:3027",-1.37954241502202,"cost",65648048.2108961,2
"252","brazil",15,3023,"change_in_emissions:3029",-1.0067794290294,"cost",598273.211359456,10
"253","brazil",15,3023,"change_in_emissions:3025",-21.6422670885444,"cost",1616922523.37335,6
"254","brazil",15,3023,"change_in_emissions:3027",-1.37031705417678,"cost",117848555.444737,8
"255","brazil",15,3023,"change_in_emissions:3025",-21.7941907241319,"cost",2720136548.56431,3
"256","brazil",15,3023,"change_in_emissions:3025",-21.7303603698892,"cost",976121648.067019,4
"257","brazil",15,3023,"change_in_emissions:3025",-22.1433982784315,"cost",2111746249.93716,2
"258","brazil",15,3023,"change_in_emissions:3027",-1.35380999099743,"cost",59233983.7026138,4
